case,fid,signal
08001341,82,33C
08001363,66,28
08001371,63,
08001372,16,27
08001379,432,
08001384,23,14
08001400,62,
08001409,624,27V
08001410,29,
08001425,602,
08001431,57,
08001434,97,28
08001451,73,
08001465,250,14
08001483,877,27
08001495,61,28
08001499,49,27V
08001500,49,27v
08001504,54,17
08001508,877,27
08001513,27,41
08001519,877,14lpr
08001526,32,27
08001538,81,14lpr
08001542,347,41
08001547,17,14tpw
08001562,41,14H
08001570,644,41
08001571,81,14si
08001573,54,18
08001576,432,54DL
08001579,789,28
08001596,15,27
08001605,49,27v
08001609,882,14lpr
08001617,49,27v
08001620,41,28
08001624,738,34
08001632,866,35
08001635,931,16
08001653,65,27
08001656,289,52
08001659,323,14tpw
08001676,73,34Har
08001694,931,17
08001710,72,14har
08001713,12,14tpw
08001720,12,27
08001721,293,63
08001723,784,27v
08001729,877,14tp2
08001730,493,17
08001736,563,17
08001744,135,14PD
08001748,45,14ir
08001751,130,41
08001762,55,39
08001782,71,32
08001804,7,27
08001823,843,27
08001831,16,27
08001835,877,18
08001847,643,27
08001869,752,16
08001880,51,28
08001881,72,14lpr
08001893,128,14
08001895,61,28
08001918,12,27
08001919,59,51
08001922,524,28
08001943,524,28
08001949,18,14tpw
08001980,799,17nr
08001985,81,27
08001986,81,27
08001987,852,39
08001998,271,63
08002000,92,14tpw
08002014,274,35j
08002034,7,14tpw
08002037,,41
08002039,27,27
08002040,16,29
08002063,432,35
08002080,51,35
08002097,189,16
08002100,680,28
08002101,25,27
08002109,111,142p2
08002120,209,14
08002124,29,54
08002131,16,35
08002135,71,28
08002144,268,27
08002145,571,28
08002155,331,14tpw
08002159,328,27
08002177,511,54
08002181,7,27
08002189,55,14tpw
08002201,432,14tpw
08002203,48,14tp2
08002224,61,28
08002237,70,14
08002238,72,16
08002252,108,28
08002252,107,14tpw
08002256,70,14
08002260,386,14tpw
08002290,877,14tpw
08002295,15,27
08002295,,27
08002305,32,28
08002322,862,14si
08002351,785,14tpw
08002353,90,41
08002355,785,17
08002357,122,14lpr
08002379,,28
08002423,71,14
08002430,,27
08002438,928,14lpr
08002440,645,14lpr
08002447,129,28
08002452,420,18
08002458,57,28
08002460,560,17
08002465,108,14lrp
08002469,71,28
08002477,,27
08002481,104,41
08002486,130,14si
08002490,,14lpr
08002492,,14
08002516,7,27
08002540,892,17
08002541,54,26
08002544,194,
08002550,,
08002550,885,27
08002568,432,27
08002579,512,
08002580,366,27v
08002582,877,17
08002591,358,27
08002593,54,26
08002594,358,26
08002596,49,26
08002605,16,27
08002607,833,27
08002610,220,17
08002617,17,14si
08002634,19,54
08002652,432,54
08002654,432,35
08002655,72,35
08002657,60,27
08002663,7,41
08002668,715,14tpw
08002696,76,28
08002708,60,27
08002718,577,16
08002739,16,27
08002761,16,27
08002792,81,41
08002803,436,17
08002806,785,34
08002832,131,27
08002837,16,27
08002838,16,27
08002843,957,26
08002848,16,27
08002852,877,27
08002855,784,17
08002887,974,63
08002893,878,14tpw
08002897,123,43
08002900,70,26
08002918,492,14tpw
08002918,916,14
08002924,311,14
08002931,109,14
08002937,34,38
08002942,70,35j
08002944,74,22
08002958,824,35
08002960,865,35j
08002963,76,35
08002994,454,22
08002999,590,14
08003002,16,27
08003048,338,28
08003049,123,14
08003050,7,27
08003057,242,17
08003068,284,17
08003085,77,41
08003102,51,34
08003112,16,27
08003116,18,34
08003117,918,27
08003118,918,27
08003119,918,27
08003120,67,44a
08003121,914,27
08003123,456,14
08003147,27,16
08003202,76,35j
08003251,81,34
08003254,19,41
08003262,349,27
08003267,676,32
08003308,705,18
08003318,192,21
08003321,123,41
08003339,131,27
08003342,70,27
08003348,876,28
08003379,30,41
08003383,55,43
08003398,72,35j
08003403,948,27v
08003415,17,14HAR
08003418,366,17
08003421,71,14
08003434,130,28
08003437,111,32
08003443,71,35j
08003460,51,17
08003463,73,26
08003471,57,26
08003473,380,14tpw
